"event","topic","question","options__001","options__002","options__003","options__004","answer","subtopic","difficulty","hint","explanation"
"Astronomy","Stellar Evolution","What is the primary energy source for a protostar before it begins nuclear fusion?","Nuclear fission","Gravitational potential energy","Heat from cosmic microwaves","Chemical reactions","Gravitational potential energy","","Easy","As the gas and dust cloud collapses, energy is released from the force pulling it inward.","Before a protostar is hot and dense enough for nuclear fusion to begin, its primary energy source is the conversion of gravitational potential energy into thermal energy."
"Astronomy","Stellar Evolution","Which stage comes immediately after a main-sequence star exhausts hydrogen in its core?","Red Giant","White Dwarf","Neutron Star","Supernova","Red Giant","","Medium","Think about the expansion of the star as fusion shifts to a shell around the core.","After hydrogen is exhausted in the core, fusion continues in a shell around the core, causing the star to expand into a red giant."
"Astronomy","Stellar Evolution","What type of star will a 1 solar mass star become after it leaves the main sequence?","White Dwarf","Neutron Star","Black Hole","Red Supergiant","White Dwarf","","Easy","Think about the typical fate of sun-like stars.","Stars with mass similar to the Sun end their lives as white dwarfs after shedding their outer layers."
"Astronomy","Stellar Evolution","Which process powers a star during the main-sequence phase?","Hydrogen fusion","Helium fission","Gravitational contraction","Carbon burning","Hydrogen fusion","","Easy","Main sequence is defined by core hydrogen burning.","Stars fuse hydrogen into helium in their cores during the main-sequence phase, releasing energy."
"Astronomy","Stellar Evolution","Which type of star will undergo a supernova explosion?","Massive stars (>8 solar masses)","Sun-like stars","Brown dwarfs","White dwarfs in isolation","Massive stars (>8 solar masses)","","Medium","Only very massive stars reach the core-collapse stage.","Stars more massive than ~8 solar masses explode as supernovae after exhausting their nuclear fuel."
"Astronomy","Stellar Evolution","What is a planetary nebula?","The outer layers ejected by a dying low-mass star","A giant planet formation region","A cluster of stars forming","A remnant of a supernova","The outer layers ejected by a dying low-mass star","","Medium","It surrounds a hot central star, forming a glowing shell.","Planetary nebulae are formed when low- to intermediate-mass stars eject their outer envelopes at the end of their lives."
"Astronomy","Stellar Evolution","What determines the ultimate fate of a star?","Its initial mass","Its rotation speed","Its age","Its metallicity","Its initial mass","","Easy","Mass dictates whether it becomes a white dwarf, neutron star, or black hole.","A star's initial mass is the main factor controlling its evolution and final state."
"Astronomy","Stellar Evolution","During which phase do stars fuse helium into carbon in their cores?","Red Giant phase","Main Sequence","White Dwarf phase","Protostar phase","Red Giant phase","","Medium","Occurs after core hydrogen is depleted.","Red giants fuse helium into carbon and oxygen in their cores once hydrogen is exhausted."
"Astronomy","Stellar Evolution","Which of the following describes a T Tauri star?","A young pre-main-sequence star","A dying white dwarf","A massive supergiant","A neutron star","A young pre-main-sequence star","","Medium","It is still contracting and not yet fusing hydrogen.","T Tauri stars are young stars still contracting towards the main sequence, showing variability and strong stellar winds."
"Astronomy","Stellar Evolution","Which star type has exhausted helium in its core and fuses heavier elements in shells?","Asymptotic Giant Branch star","Red Dwarf","Main Sequence Star","T Tauri star","Asymptotic Giant Branch star","","Hard","Occurs in low- to intermediate-mass stars before they become planetary nebulae.","AGB stars have inert cores of carbon and oxygen and fuse helium and hydrogen in shells around the core."
